id,title,status,priority,issue_type,created_by,created_at,updated_at,closed_at,close_reason,deleted_at,deleted_by,delete_reason,original_type,description
bd-16,User flow diagram for Tribal AR,closed,3,feature,,2025-11-14T18:27:48Z,2026-01-12T17:12:32Z,2025-12-03T15:09:27Z,,,,,,"h2. Description

Review the Tribal Annual Report 3.0 and map it out on a flow diagram capturing questions asked, decision points, any branching logic. 

This will help the team with understanding the end-to-end flow before designs begin, help the team align on scope and sequence of the form. 

h3. Scope

This work is centered around the Tribal Annual Report 3.0 that's OMB approved and have been worked on my the program staff team specifically for the forms engine.

h3. Resource
* [Tribal Annual Report 3.0 pdf |https://acf.gov/sites/default/files/documents/ocs/FY24-CSBG-Tribal-Annual-Report-Fillable-PDF-Tool_2.pdf] 

h2. Deliverable
* [Figma link|https://www.figma.com/board/zoPjGarJQBVwlMaIgISvq0/ACF-Exploration?node-id=309-1975]"
bd-17,Add unit tests for new form schema manager,open,3,feature,,2025-11-17T16:23:58Z,2025-11-18T15:20:29Z,,,,,,,"Test the following:
 * dump_schema command
 * load_initial_forms command"
bd-18,Render example form with new form schema management,closed,3,feature,,2025-11-17T16:25:13Z,2025-11-21T16:28:45Z,2025-11-21T16:28:45Z,,,,,,"With the new form schema management, we need to write an engine that renders the form into a django template."
bd-19,Setting Up Component Library ,closed,3,feature,,2025-11-17T19:21:52Z,2025-12-04T18:40:54Z,2025-12-04T18:40:54Z,,,,,,Setting Up Component Library using Django Pattern Library
bd-20,Set up Figma Design system using USDWS 3.0,closed,3,feature,,2025-11-17T19:28:17Z,2025-12-04T19:45:48Z,2025-12-03T15:09:35Z,,,,,,"h2. Description

Set up Figma with USWDS design library, the design system for the federal government. 

h3. Resource 
* https://designsystem.digital.gov/

h2. Deliverable
* [Figma library|https://www.figma.com/design/mEm3CXNbZpBLfI3WKcAPIf/USWDS-Design-Kit-Beta--Community-?m=auto&t=sn8GGamZ6hxNI1ox-6]"
bd-21,Strawman of Personas,closed,3,feature,,2025-11-18T15:20:18Z,2025-11-18T15:22:18Z,2025-11-18T15:22:18Z,,,,,,Strawman of Personas
bd-22,Version 2.0 of Product Spec,closed,3,feature,,2025-11-18T15:21:58Z,2025-12-16T17:53:30Z,2025-11-18T15:22:23Z,,,,,,Version 2.0 of Product Spec
bd-23,Review existing research,closed,3,feature,,2025-11-18T21:46:04Z,2025-12-04T19:41:07Z,2025-12-02T18:14:50Z,,,,,,"h2. Description

We start with reviewing existing research to gain context and ground ourselves with what's known as far as the forms goes, the current workflow around them.
h3. Confluence Resource
 * [CSBG Reporting Process|https://confluence.acf.gov/spaces/OXT/pages/100016507/CSBG+Reporting+Process]
 * [Annual Report|https://confluence.acf.gov/spaces/OXT/pages/83305893/CSBG+Annual+Report]
 * [CSBG Research Intro|https://app.mural.co/t/hhsacf3483/m/hhsacf3483/1758569293327/6d9fb5daf522f90532e227fd2b23d56c00a3ab15]"
bd-24,Implement OAuth 2.0 Authorization Code Flow,open,3,feature,,2025-11-04T21:13:00Z,2025-11-04T21:16:33Z,,,,,,,"* {*}Story{*}: As a user, I need to be redirected to Login.gov for authentication so that I can securely access ACF services.
 * {*}Acceptance Criteria{*}:
 ** Implement authorization request with proper parameters (client_id, redirect_uri, scope, state)
 ** Handle Login.gov callback with authorization code
 ** Exchange authorization code for access token
 ** Validate state parameter to prevent CSRF attacks
 ** Support PKCE (Proof Key for Code Exchange) if required"
bd-25,Refresh kick off deck slides,closed,3,feature,,2025-11-19T16:24:56Z,2025-12-09T18:53:25Z,2025-12-09T18:53:25Z,,,,,,Refresh kick off deck slides
bd-26,Create jira dashboard,closed,3,feature,,2025-11-19T16:25:57Z,2025-11-19T16:35:28Z,2025-11-19T16:35:28Z,,,,,,Create jira dashboard
bd-27,Create quarterly plan,closed,3,feature,,2025-11-19T16:26:14Z,2026-01-26T18:05:29Z,2026-01-14T18:01:06Z,,,,,,"Create jira plan to replace manual roadmap

 

https://docs.google.com/document/d/1NvasVSui7PR9YZIqNTca4Ph6xMkby9_hZngFUfBvymo/edit?usp=sharing"
bd-28,Delivery Operations,open,3,epic,,2025-11-19T16:27:40Z,2026-01-12T19:24:13Z,,,,,,,Delivery Operations
bd-29,Textarea,closed,3,feature,,2025-11-19T17:23:34Z,2025-12-01T18:20:49Z,2025-12-01T18:20:49Z,,,,,,Textarea
bd-30,Monthly Report,closed,3,feature,,2025-11-19T18:03:58Z,2026-01-26T18:08:52Z,2026-01-20T18:46:33Z,,,,,,Monthly Report
bd-31,Setup API Scaffolding,closed,3,feature,,2025-11-24T23:59:08Z,2025-12-02T21:35:56Z,2025-12-02T21:35:56Z,,,,,,"Create a foundational REST API architecture for the form manager application that provides read-only access to form definitions, entries, audit trails, and organization data.

h2. Technical Approach
- Use Django Ninja framework for modern, type-safe API development
 - Implement session-based authentication (OAuth2/OIDC integration)
 - Organize endpoints under `/api/v1/forms/` namespace
 - Follow RESTful conventions and OpenAPI standards
 - Auto-generate interactive documentation via Swagger UI

h2. Authentication & Authorization
- Django session authentication integrated (requires web login)
- All endpoints require authentication
- Permission checks use existing `user_can_view()` utilities
- Organization-based data isolation enforced
- Proper 401/403 error responses

h2. Documentation
- Interactive Swagger UI accessible at `/api/v1/docs`
- OpenAPI schema available at `/api/v1/openapi.json`
- API README in `form_manager/api/README.md` with:
  - Authentication instructions (session cookie extraction)
  - Quick start examples (JavaScript, Python, cURL)
  - Token authentication implementation guide (future enhancement)"
bd-32,Create currency component,closed,3,feature,,2025-12-01T14:56:24Z,2025-12-02T21:39:45Z,2025-12-01T15:42:10Z,,,,,,Create a standalone currency component that uses the input prefix component.
bd-33,Stand up a unit test framework,open,0,feature,,2025-12-01T15:08:14Z,2025-12-01T15:08:15Z,,,,,,,"We have E2E tests set up, but not unit tests. We need to add them."
bd-34,Use currency component in form rendering,closed,1,feature,,2025-12-01T15:37:20Z,2025-12-02T21:40:05Z,2025-12-02T18:36:40Z,,,,,,The title says it all
bd-35,Implement OpenID Connect Identity Verification,closed,3,feature,,2025-11-04T21:13:34Z,2025-11-17T18:26:58Z,2025-11-17T18:26:58Z,,,,,,"* {*}Story{*}: As the system, I need to verify user identity through OpenID Connect so that I can establish authenticated user sessions.
 * {*}Acceptance Criteria{*}:
 ** Request OpenID Connect scope during authorization
 ** Retrieve and validate ID token from Login.gov
 ** Verify JWT signature using Login.gov's public keys
 ** Extract user attributes (sub, email, verified_at)
 ** Validate token expiration and issuer"
bd-36,POC pdf download,closed,3,feature,,2025-12-02T21:45:34Z,2025-12-11T18:35:39Z,2025-12-11T18:35:39Z,,,,,,"Implement PDF export functionality for form entries 

 "
bd-37,Improve form saving,closed,1,feature,,2025-12-03T16:11:01Z,2025-12-03T16:27:42Z,2025-12-03T16:27:42Z,,,,,,* Figure out the calculated field issue
bd-38,Setup unit tests,closed,0,feature,,2025-12-04T16:48:21Z,2025-12-09T18:36:10Z,2025-12-09T18:36:10Z,,,,,,use pytest
bd-39,Initial design for Tribal AR,closed,3,feature,,2025-12-04T18:45:23Z,2026-01-12T17:13:41Z,2025-12-16T22:02:32Z,,,,,,"h2. Description
Design the digital experience for Tribal Annual Report, enabling users for the first time to easily enter information on how funds received were used. 

h3. Scope
* V1 work includes creating a digital experience of filling out the form in its entirety. 
* Does not include login, or post-submission workflows. 
* Assumes that the user is filling out the report for the first time, and there isn't existing data on them that we can reuse on the form. 

h3. Resource
* [Tribal Annual Report 3.0 pdf |https://acf.gov/sites/default/files/documents/ocs/FY24-CSBG-Tribal-Annual-Report-Fillable-PDF-Tool_2.pdf] 

h2. Deliverable
* [V1 Figma Designs|https://www.figma.com/design/wFHt90xC26RDWyIwNPtlua/Tribal-Forms?node-id=37-1969]"
bd-40,System Intake Form,closed,1,feature,,2025-12-08T16:39:42Z,2025-12-11T18:36:03Z,2025-12-11T18:36:03Z,,,,,,https://app.smartsheetgov.com/b/form/e96258798e064e48a4014bc10e41b1ac
bd-41,SPIKE: Parse fillable fields from PDF,closed,3,feature,,2025-12-09T19:01:51Z,2025-12-09T19:03:10Z,2025-12-09T19:03:10Z,,,,,,"Example code to grab all the form fields in a PDF and parse them into dicts:




 

```
import pdfplumber
from pdfplumber.utils.pdfinternals import resolve_and_decode

pdf = pdfplumber.open(""/Users/ryanbagwell/Downloads/FY24-CSBG-Tribal-Annual-Report-Short-Form-Fillable-PDF-Tool_2.pdf"")

fields = pdf.doc.catalog[""AcroForm""].resolve().get(""Fields"")


def get_field_flags(flags: int | None):

positions= {
""read_only"": 0,
""required"": 1,
""no_export"": 2,
""multiline"": 13,
""password"": 14,
""file_select"": 15,
""multiselect"": 22,
}

ifnotflags:
return \{k: Falsefork, _inpositions.items()}
 
bits=list((flags).to_bytes(32))

return \{k: bits[v] ==1fork, vinpositions.items()}


for field in fields:

data=field.resolve()

parsed= {
""type"": resolve_and_decode(data.get(""FT"")),
""label"": resolve_and_decode(data.get(""TU"") ordata.get(""T"")),
""name"": resolve_and_decode(data.get(""TM"")),
""default_value"": resolve_and_decode(data.get(""DV"")),
""choices"": resolve_and_decode(data.get(""Op"")),
}

field_flags=resolve_and_decode(data.get(""Ff""))

parsed.update(get_field_flags(resolve_and_decode(data.get(""Ff""))))

print(parsed)

```

 

 "
bd-42,Investigate replacing form field schema with django forms,closed,0,feature,,2025-12-10T16:20:47Z,2025-12-17T18:38:51Z,2025-12-17T18:38:51Z,,,,,,The name says it all
bd-43,Clearance Tshering,closed,3,feature,,2025-12-11T18:43:16Z,2025-12-15T19:05:40Z,2025-12-15T19:03:38Z,,,,,,Clearance Tshering
bd-44,Ryan Clearance,closed,3,feature,,2025-12-11T18:44:20Z,2025-12-17T18:29:41Z,2025-12-17T18:29:41Z,,,,,,ryan's clearance
bd-45,Design,open,3,epic,,2025-12-16T17:38:21Z,2026-01-26T18:51:59Z,,,,,,,"Design the user experience and interface for forms engine and it will house work related to creating wireframes, user flows, screens/pages and related artifacts. Work incorporates user research findings and follows USWDS guidance, and prepares designs for implementation. "
bd-46,Implement Secure Session Management,open,3,feature,,2025-11-04T21:14:04Z,2025-11-04T21:16:57Z,,,,,,,"* {*}Story{*}: As a user, I need my authenticated session to be secure and properly managed so that my access is protected throughout my interaction with the system.
 * {*}Acceptance Criteria{*}:
 ** Create secure session upon successful authentication
 ** Store minimal user data in session (user ID, authentication timestamp)
 ** Implement session timeout (per ACF security requirements)
 ** Secure session cookies with HttpOnly, Secure, and SameSite flags
 ** Generate unique session IDs with proper entropy"
bd-47,Iterate on designs for Tribal AR,closed,3,feature,,2025-12-16T17:46:27Z,2026-01-14T19:19:19Z,2026-01-14T18:59:49Z,,,,,,"h2. Description
Iterate on the V1 designs for the Tribal Annual Report.

Some key updates to the designs include:
* Adding an intro page to introduce the form
* Mapping interaction of the edit flow
* Adding a don't leave page modal before saving

Note
* Was on half capacity during Sprint 4 and Sprint 5 due to holidays and end of year PTO

h3. Resource
* [Tribal Annual Report 3.0 pdf |https://acf.gov/sites/default/files/documents/ocs/FY24-CSBG-Tribal-Annual-Report-Fillable-PDF-Tool_2.pdf] 

h3. Feedback
* Met with Kayla on 12/17 to get feedback on V1 designs
* Met with Melanie, Liane, Kayla, Amanda, Mark with leads to share V1 designs and collect feedback

h2. Deliverable
V1 Figma Designs (link to be added closer to the end of the sprint)"
bd-48,Draft Research Plan (Usability Test Plan) ,closed,3,feature,,2025-12-16T17:52:47Z,2026-01-26T18:09:02Z,2026-01-21T18:34:28Z,,,,,,"h2. Description 
Create a research plan to support user feedback sessions for the CSBG Tribal Annual Report. The plan will outline how sessions will be run and how feedback will be used to inform design updates.

This plan takes into account both the forms that we plan on testing and thereby considers two phases 

h2. Tasks
* Drafted Plan 01/21
* Reviewed plan with OCS + Digital Services Team (Melanie, Liane, Amanda, Lena, Kayla) on 01/21
* OCS + Digital Services Team will leave comments + feedback via Confluence (focus around timeline and roles) by 01/26

h2. Deliverable
* [Research plan draft|https://docs.google.com/document/d/1l4ZwPA2aaoH1G-L3xkOxsx8TSFr7sSvI5Neufqp9Jwc/edit?tab=t.0#heading=h.afmfkcdogmeb]
* [Confluence version|https://confluence.acf.gov/spaces/OXT/pages/168833918/Research+Plan]"
bd-49,PDF Implementation,in_progress,3,feature,,2025-12-16T19:42:03Z,2026-01-13T18:36:40Z,,,,,,,placeholder
bd-50,Data Schema ,closed,3,feature,,2025-12-16T19:43:13Z,2026-01-26T18:05:38Z,2026-01-08T21:17:00Z,,,,,,Data Schem
bd-51,Prototype rendering of new design,closed,3,feature,,2025-12-17T21:17:18Z,2026-01-26T18:05:49Z,2026-01-08T20:11:07Z,,,,,,See what it will take
bd-52,Clearance Logan,closed,3,feature,,2025-12-22T18:40:47Z,2026-01-26T18:06:03Z,2026-01-07T18:40:08Z,,,,,,Clearance 
bd-53,Clearance Ryan Cont'd,closed,3,feature,,2026-01-07T18:41:11Z,2026-01-26T18:06:13Z,2026-01-07T18:41:29Z,,,,,,SF-85 form additional work
bd-54,Save draft form data when advancing to next step,closed,3,feature,,2026-01-08T20:13:30Z,2026-01-26T18:09:13Z,2026-01-21T18:23:51Z,,,,,,"The data should be saved. At the moment, it isn't being saved.

This is how we were previously saving the draft form data:

https://github.com/focusconsulting/csfeer/blob/784a7db9ba7194b240528530ebc63738f6b48247/form_manager/views/__init__.py#L60-L74"
bd-55,Fix CalculatedField and CalculatedField,closed,3,feature,,2026-01-08T20:15:32Z,2026-01-26T18:06:24Z,2026-01-13T18:22:40Z,,,,,,"The field should:
 # be read only and appear greyed out like in the design
 # it should actually display the total from all the fields
 # it should also have some javascript that dynamically sums the fields when changed by the user."
bd-56,Implement Session Refresh and Token Management,open,3,feature,,2025-11-04T21:14:33Z,2025-11-04T21:14:33Z,,,,,,,"* {*}Story{*}: As a user, I need my session to be automatically refreshed when possible so that I don't lose my work due to token expiration.
 * {*}Acceptance Criteria{*}:
 ** Implement refresh token flow if supported by Login.gov
 ** Handle access token expiration gracefully
 ** Refresh tokens before expiration when possible
 ** Clear sessions when refresh fails
 ** Log token refresh activities for audit"
bd-57,Move component library into the django_cotton_uswds app,open,3,feature,,2026-01-08T20:17:11Z,2026-01-08T20:17:11Z,,,,,,,The component library should live there because all of the components are in the django_cotton_uswds app
bd-58,Clearance Tshering Cont'd,closed,3,feature,,2026-01-12T15:49:48Z,2026-01-26T18:09:23Z,2026-01-15T16:26:27Z,,,,,,"PIV card pickup will be in Philly, flying down for the appointment on the 29th of January
* Will get photo taken
* Will receive PIV card

*Tasks*
[X] Book Ticket
[X] Book Hotel
[X] Book Transport"
bd-59,CSBG Annual Report,open,3,epic,,2026-01-12T16:13:01Z,2026-02-02T18:23:31Z,,,,,,,CSBG Annual Report
bd-60,CSBG Annual Report - Short Form,open,3,epic,,2026-01-12T16:13:20Z,2026-01-12T16:13:20Z,,,,,,,CSBG Annual Report - Short Form
bd-61,CSBG Plan and Application,open,3,epic,,2026-01-12T16:13:42Z,2026-01-12T16:13:42Z,,,,,,,CSBG Plan and Application
bd-63,Content updates for Tribal AR,open,3,feature,,2026-01-12T16:52:21Z,2026-01-26T18:25:55Z,,,,,,,Content Updates to V1 Designs
bd-64,Visual design updates for Forms platform,open,3,feature,,2026-01-12T16:54:22Z,2026-01-26T20:26:59Z,,,,,,,Visual design
bd-65,Initial design for Tribal Plan and Application,open,3,feature,,2026-01-12T16:57:19Z,2026-01-26T18:25:55Z,,,,,,,Design of Tribal Plan and Application I
bd-66,Iterate on designs for Tribal Plan and Application,open,3,feature,,2026-01-12T16:57:41Z,2026-01-26T18:25:55Z,,,,,,,Design of Tribal Plan and Application II
bd-67,Implement Secure Logout,open,3,feature,,2025-11-04T21:15:00Z,2025-11-04T21:15:00Z,,,,,,,"* As a user, I need to be able to securely log out so that my session is completely terminated.
 * {*}Acceptance Criteria{*}:
 ** Clear all session data on logout
 ** Revoke tokens with Login.gov if supported
 ** Redirect to Login.gov logout endpoint
 ** Clear authentication cookies
 ** Provide logout confirmation"
bd-68,Iterate on designs for Tribal Plan and Application ,open,3,feature,,2026-01-12T17:00:02Z,2026-01-26T18:25:55Z,,,,,,,Iterate on designs for Tribal Plan and Application 
bd-69,Content updates for Tribal Plan and Application,open,3,feature,,2026-01-12T17:05:09Z,2026-01-26T18:25:56Z,,,,,,,Content updates to Tribal Plan and Application
bd-70,Prep work for Tribal Plan and Application,in_progress,3,feature,,2026-01-12T17:15:20Z,2026-01-28T18:11:19Z,,,,,,,"Description
Reviewing the tribal and plan application, starting to think about how to group the form and lay out the questions"
bd-71,Onboarding support to Service Designer,closed,3,feature,,2026-01-12T17:25:43Z,2026-01-28T18:10:51Z,2026-01-28T17:01:44Z,,,,,,"h2. Description
This sprint, supporting new designer onboard

h3. Tasks
[X] Meet with designer 
[X] Provide resources to gain context into the work
[X] Provide access to Focus tools (Figma, Google drive, etc)
[X] Support with onboarding to ACF tools (Confluence, Jira) 
"
bd-72,Design a landing page for all forms,open,3,feature,,2026-01-12T17:57:01Z,2026-01-26T18:25:56Z,,,,,,,Landing page
bd-73,Build Quarterly Roadmap,closed,3,feature,,2026-01-12T17:57:15Z,2026-01-28T15:18:00Z,2026-01-28T13:50:46Z,,,,,,Quarterly Roadmap
bd-74,Clearance for Mo,in_progress,3,feature,,2026-01-12T17:57:49Z,2026-01-28T13:51:20Z,,,,,,,Clearance for Mo
bd-76,Design an entry flow into forms,closed,3,feature,,2026-01-12T19:14:33Z,2026-02-05T11:35:59.825311-05:00,2026-01-20T18:00:33Z,,,,,,Design an entry flow into forms
bd-77,Review Page Rendering,closed,3,feature,,2025-11-04T21:15:28Z,2026-01-26T18:09:40Z,2026-01-20T18:00:33Z,,,,,,placeholder
bd-78,Demo ,open,3,task,,2026-01-12T19:22:18Z,2026-01-28T13:51:20Z,,,,,,,Schedule demo
bd-79,Backlog Review,closed,3,task,,2026-01-12T19:23:23Z,2026-01-28T13:51:00Z,2026-01-28T13:51:00Z,,,,,,Backlog Review
bd-81,Create multi select filter component,closed,3,feature,,2026-01-13T18:37:16Z,2026-01-13T19:23:51Z,2026-01-13T19:23:51Z,,,,,,See the attached picture
bd-82,Add step counter to the form steps,open,3,feature,,2026-01-16T19:12:25Z,2026-01-16T19:12:26Z,,,,,,,See the attached screenshot
bd-83,Add edit links to review page,closed,3,feature,,2026-01-20T18:01:33Z,2026-01-26T18:09:49Z,2026-01-21T18:33:38Z,,,,,,Add them!
bd-84,Iterate on how to handle subsections on forms,closed,3,feature,,2026-01-21T17:40:09Z,2026-01-26T18:25:56Z,2026-01-21T18:33:38Z,,,,,,"Iterate on how to handle subsections on forms

Work on this as part of Tribal Plan and Application Form, or after that is complete"
